Method,InF_Improvement_dB,RMa_Improvement_dB,Avg_Improvement_dB,Additional_Params,Param_Efficiency
v3_Adapter,-2.0,-2.0,-2.0,131072,1.31
v4_LoRA,-2.299999999999997,-2.3999999999999986,-2.349999999999998,26624,0.27
